Election,Precinct,TOTPOP,NH_WHITE,NH_BLACK,NH_ASIAN,HISP,num_black,num_white,num_asian,num_hispanic,num_undetermined,black_avail,white_avail,asian_avail,hisp_avail,black_thresh,white_thresh,asian_thresh,hispanic_thresh,How many surpass?
MY14,100,1310,977,34,170,55,0,5,0,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,101,1795,1129,151,369,76,1,3,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Surpasses,Doesn't Surpass,2
MY14,102,812,568,42,94,62,1,3,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,103,1680,1061,74,349,100,1,4,0,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Surpasses,Doesn't Surpass,2
MY14,104,1209,896,39,129,71,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,105,863,652,20,77,63,1,3,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,106,1597,1193,81,179,69,1,4,0,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,107,783,602,29,73,45,1,4,0,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,108,1103,744,61,152,73,1,4,0,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,109,1302,996,43,129,69,1,4,0,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,110,928,663,39,135,38,1,4,0,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,111,832,616,38,92,50,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,112,745,575,21,61,50,1,3,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,113,1365,1061,28,102,111,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,114,1461,1042,57,138,133,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,115,1428,895,210,107,113,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,116,1430,1064,58,110,111,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,117,851,467,180,53,108,0,4,1,0,0,6,6,3,0,Surpasses,Surpasses,Doesn't Surpass,Doesn't Surpass,2
MY14,118,1340,981,65,119,87,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,119,891,645,45,94,69,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,120,1763,1026,283,138,203,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,121,1213,634,225,140,139,0,4,1,0,0,6,6,3,0,Surpasses,Surpasses,Doesn't Surpass,Doesn't Surpass,2
MY14,122,1032,493,233,80,138,1,3,1,0,0,6,6,3,0,Surpasses,Surpasses,Doesn't Surpass,Doesn't Surpass,2
MY14,123,884,311,289,127,110,0,4,1,0,0,6,6,3,0,Surpasses,Surpasses,Doesn't Surpass,Doesn't Surpass,2
MY14,124,781,492,55,105,81,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,125,1221,781,113,169,91,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,126,1869,1259,133,213,158,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,127,1444,994,61,171,137,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,128,469,362,36,44,16,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,129,1357,959,113,121,80,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,130,1631,1132,102,207,105,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,131,698,287,120,183,74,0,4,1,0,0,6,6,3,0,Surpasses,Surpasses,Surpasses,Doesn't Surpass,3
MY14,132,1926,976,214,437,188,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Surpasses,Doesn't Surpass,2
MY14,133,1080,729,56,147,91,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,134,1434,605,350,224,154,0,4,1,0,0,6,6,3,0,Surpasses,Surpasses,Doesn't Surpass,Doesn't Surpass,2
MY14,135,872,408,132,174,114,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Surpasses,Doesn't Surpass,2
MY14,136,781,460,150,59,69,0,4,1,0,0,6,6,3,0,Surpasses,Surpasses,Doesn't Surpass,Doesn't Surpass,2
MY14,137,885,539,144,64,83,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,138,790,424,140,103,86,0,4,1,0,0,6,6,3,0,Surpasses,Surpasses,Doesn't Surpass,Doesn't Surpass,2
MY14,139,1678,898,284,203,195,0,4,1,0,0,6,6,3,0,Surpasses,Surpasses,Doesn't Surpass,Doesn't Surpass,2
MY14,140,1488,733,303,219,141,0,4,1,0,0,6,6,3,0,Surpasses,Surpasses,Doesn't Surpass,Doesn't Surpass,2
MY14,141,1234,702,197,153,102,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,142,888,559,77,115,88,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,143,799,451,97,121,81,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,144,911,625,83,105,58,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,145,1722,1097,150,228,142,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,146,910,684,65,85,43,1,4,0,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,147,1053,595,227,90,72,1,3,1,0,0,6,6,3,0,Surpasses,Surpasses,Doesn't Surpass,Doesn't Surpass,2
MY14,148,1088,716,141,110,60,1,4,0,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,149,984,629,114,123,59,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,150,1084,740,115,99,57,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,151,1441,1057,95,115,81,1,3,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,152,1104,822,66,84,66,1,3,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,153,1504,1030,103,195,90,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,154,1158,797,49,155,81,1,3,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,155,955,726,37,91,55,0,5,0,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,156,869,647,41,81,44,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,157,957,691,48,109,65,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,158,1065,840,70,62,47,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,159,704,461,61,90,52,1,3,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,160,1309,953,116,117,55,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,161,643,440,40,67,62,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,162,1677,1211,72,195,97,1,4,0,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,227,1564,371,827,100,178,1,3,1,0,0,6,6,3,0,Surpasses,Surpasses,Doesn't Surpass,Doesn't Surpass,2
MY14,228,1242,404,507,136,106,1,3,1,0,0,6,6,3,0,Surpasses,Surpasses,Doesn't Surpass,Doesn't Surpass,2
MY14,229,1233,528,292,234,128,0,4,1,0,0,6,6,3,0,Surpasses,Surpasses,Surpasses,Doesn't Surpass,3
MY14,230,1110,355,506,48,123,0,4,1,0,0,6,6,3,0,Surpasses,Surpasses,Doesn't Surpass,Doesn't Surpass,2
MY14,231,1150,338,481,80,182,1,3,1,0,0,6,6,3,0,Surpasses,Surpasses,Doesn't Surpass,Doesn't Surpass,2
MY14,232,1100,275,608,43,106,1,3,1,0,0,6,6,3,0,Surpasses,Surpasses,Doesn't Surpass,Doesn't Surpass,2
MY14,233,889,300,403,34,111,0,4,1,0,0,6,6,3,0,Surpasses,Surpasses,Doesn't Surpass,Doesn't Surpass,2
MY14,234,1867,535,917,131,201,1,3,1,0,0,6,6,3,0,Surpasses,Surpasses,Doesn't Surpass,Doesn't Surpass,2
MY14,235,2099,1113,482,136,215,0,4,1,0,0,6,6,3,0,Surpasses,Surpasses,Doesn't Surpass,Doesn't Surpass,2
MY14,236,1419,665,451,72,125,0,4,1,0,0,6,6,3,0,Surpasses,Surpasses,Doesn't Surpass,Doesn't Surpass,2
MY14,237,1573,673,615,80,126,1,3,1,0,0,6,6,3,0,Surpasses,Surpasses,Doesn't Surpass,Doesn't Surpass,2
MY14,238,1047,303,495,37,145,0,4,1,0,0,6,6,3,0,Surpasses,Surpasses,Doesn't Surpass,Doesn't Surpass,2
MY14,239,2339,549,1146,178,321,1,3,1,0,0,6,6,3,0,Surpasses,Surpasses,Doesn't Surpass,Doesn't Surpass,2
MY14,240,2292,417,1207,203,340,1,3,1,0,0,6,6,3,0,Surpasses,Surpasses,Doesn't Surpass,Doesn't Surpass,2
MY14,241,1133,493,224,187,131,0,4,1,0,0,6,6,3,0,Surpasses,Surpasses,Doesn't Surpass,Doesn't Surpass,2
MY14,242,1538,443,144,748,124,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Surpasses,Doesn't Surpass,2
MY14,243,1185,514,287,111,154,0,4,1,0,0,6,6,3,0,Surpasses,Surpasses,Doesn't Surpass,Doesn't Surpass,2
MY14,244,1502,635,426,164,182,0,4,1,0,0,6,6,3,0,Surpasses,Surpasses,Doesn't Surpass,Doesn't Surpass,2
MY14,245,2032,581,382,792,167,0,4,1,0,0,6,6,3,0,Surpasses,Surpasses,Surpasses,Doesn't Surpass,3
MY14,246,837,291,288,93,119,0,4,1,0,0,6,6,3,0,Surpasses,Surpasses,Doesn't Surpass,Doesn't Surpass,2
MY14,247,1133,444,362,172,97,0,4,1,0,0,6,6,3,0,Surpasses,Surpasses,Doesn't Surpass,Doesn't Surpass,2
MY14,248,2512,805,1049,282,220,0,4,1,0,0,6,6,3,0,Surpasses,Surpasses,Doesn't Surpass,Doesn't Surpass,2
MY14,249,1060,625,153,135,84,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Doesn't Surpass,1
MY14,250,1527,662,391,221,152,0,4,1,0,0,6,6,3,0,Surpasses,Surpasses,Doesn't Surpass,Doesn't Surpass,2
MY14,251,1724,978,312,170,149,0,4,1,0,0,6,6,3,0,Surpasses,Surpasses,Doesn't Surpass,Doesn't Surpass,2
MY14,252,1590,599,340,411,137,0,4,1,0,0,6,6,3,0,Surpasses,Surpasses,Surpasses,Doesn't Surpass,3
MY14,253,1620,559,315,484,157,0,4,1,0,0,6,6,3,0,Surpasses,Surpasses,Surpasses,Doesn't Surpass,3
MY14,254,884,208,149,397,90,0,4,1,0,0,6,6,3,0,Surpasses,Surpasses,Surpasses,Doesn't Surpass,3
MY14,255,2061,114,75,1815,34,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Doesn't Surpass,Surpasses,Doesn't Surpass,1
MY14,256,1992,916,379,370,208,0,4,1,0,0,6,6,3,0,Surpasses,Surpasses,Surpasses,Doesn't Surpass,3
MY14,257,1437,756,253,177,157,0,4,1,0,0,6,6,3,0,Surpasses,Surpasses,Doesn't Surpass,Doesn't Surpass,2
MY14,258,1615,551,428,269,255,0,4,1,0,0,6,6,3,0,Surpasses,Surpasses,Doesn't Surpass,Doesn't Surpass,2
MY14,259,530,219,112,129,45,1,3,1,0,0,6,6,3,0,Surpasses,Surpasses,Surpasses,Doesn't Surpass,3
MY14,260,2089,389,397,860,337,0,4,1,0,0,6,6,3,0,Surpasses,Surpasses,Surpasses,Doesn't Surpass,3
MY14,261,1846,269,291,827,393,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Doesn't Surpass,Surpasses,Surpasses,2
MY14,262,2627,158,393,1523,486,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Doesn't Surpass,Surpasses,Surpasses,2
MY14,263,3361,480,838,1199,692,0,4,1,0,0,6,6,3,0,Surpasses,Doesn't Surpass,Surpasses,Surpasses,3
MY14,264,2895,716,331,432,1298,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Doesn't Surpass,Surpasses,2
MY14,265,1763,163,151,137,1277,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Doesn't Surpass,Doesn't Surpass,Surpasses,1
MY14,266,2227,566,859,219,485,0,4,1,0,0,6,6,3,0,Surpasses,Surpasses,Doesn't Surpass,Surpasses,3
MY14,267,2288,409,1082,226,466,1,3,1,0,0,6,6,3,0,Surpasses,Surpasses,Doesn't Surpass,Surpasses,3
MY14,268,1061,161,589,105,148,1,3,1,0,0,6,6,3,0,Surpasses,Doesn't Surpass,Doesn't Surpass,Doesn't Surpass,1
MY14,269,1843,535,791,243,164,1,3,1,0,0,6,6,3,0,Surpasses,Surpasses,Doesn't Surpass,Doesn't Surpass,2
MY14,270,2416,366,1069,224,631,1,3,1,0,0,6,6,3,0,Surpasses,Doesn't Surpass,Doesn't Surpass,Surpasses,2
MY14,271,958,174,462,99,167,1,3,1,0,0,6,6,3,0,Surpasses,Surpasses,Doesn't Surpass,Surpasses,3
MY14,272,1468,384,466,414,126,0,4,1,0,0,6,6,3,0,Surpasses,Surpasses,Surpasses,Doesn't Surpass,3
MY14,273,1709,407,466,436,325,0,4,1,0,0,6,6,3,0,Surpasses,Surpasses,Surpasses,Surpasses,4
MY14,274,1691,291,647,436,235,0,4,1,0,0,6,6,3,0,Surpasses,Surpasses,Surpasses,Doesn't Surpass,3
MY14,275,1174,169,714,105,110,1,3,1,0,0,6,6,3,0,Surpasses,Doesn't Surpass,Doesn't Surpass,Doesn't Surpass,1
MY14,276,1181,231,547,38,286,1,3,1,0,0,6,6,3,0,Surpasses,Surpasses,Doesn't Surpass,Surpasses,3
MY14,277,1719,254,925,63,397,1,3,1,0,0,6,6,3,0,Surpasses,Doesn't Surpass,Doesn't Surpass,Surpasses,2
MY14,278,1298,204,398,187,444,1,3,1,0,0,6,6,3,0,Surpasses,Doesn't Surpass,Doesn't Surpass,Surpasses,2
MY14,279,1679,184,937,229,246,1,3,1,0,0,6,6,3,0,Surpasses,Doesn't Surpass,Doesn't Surpass,Doesn't Surpass,1
MY14,280,2420,169,1469,594,99,1,3,1,0,0,6,6,3,0,Surpasses,Doesn't Surpass,Surpasses,Doesn't Surpass,2
MY14,281,2355,297,1365,325,220,1,3,1,0,0,6,6,3,0,Surpasses,Doesn't Surpass,Doesn't Surpass,Doesn't Surpass,1
MY14,282,2251,408,682,762,321,0,4,1,0,0,6,6,3,0,Surpasses,Surpasses,Surpasses,Doesn't Surpass,3
MY14,283,540,289,75,94,58,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Surpasses,Doesn't Surpass,2
MY14,284,1836,95,57,1616,23,0,3,2,0,0,6,6,3,0,Doesn't Surpass,Doesn't Surpass,Surpasses,Doesn't Surpass,1
MY14,285,710,144,235,226,76,1,3,1,0,0,6,6,3,0,Surpasses,Surpasses,Surpasses,Doesn't Surpass,3
MY14,286,939,22,63,837,13,0,4,1,0,0,6,6,3,0,Doesn't Surpass,Doesn't Surpass,Surpasses,Doesn't Surpass,1
MY14,287,795,196,111,391,64,1,3,1,0,0,6,6,3,0,Doesn't Surpass,Surpasses,Surpasses,Doesn't Surpass,2
MY14,288,1691,190,397,592,440,0,4,1,0,0,6,6,3,0,Surpasses,Doesn't Surpass,Surpasses,Surpasses,3
MY14,289,1777,174,419,510,599,0,4,1,0,0,6,6,3,0,Surpasses,Doesn't Surpass,Surpasses,Surpasses,3
MY14,290,1447,121,399,412,442,1,3,1,0,0,6,6,3,0,Surpasses,Doesn't Surpass,Surpasses,Surpasses,3
